Date,Meeting,Agenda Link,Minutes Link
1999-07-29,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1999/Agendas_C_0077.pdf,http://boardarchives.metro.net/Minutes/1999/Minutes_B_0003.pdf
1999-08-26,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1999/Agendas_C_0079.pdf,http://boardarchives.metro.net/Minutes/1999/Minutes_B_0004.pdf
1999-09-23,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1999/Agendas_C_0003.pdf,http://boardarchives.metro.net/Minutes/1999/Minutes_B_0001a.pdf
1999-09-29,Special Board Meeting,http://boardarchives.metro.net/Agendas/1999/Agendas_C_0030.pdf,http://boardarchives.metro.net/Minutes/1999/Minutes_B_0002.pdf
1999-10-28,Regular Board Meeting,"http://boardarchives.metro.net/Agendas/1999/Agendas_C_0001.pdf
http://boardarchives.metro.net/Agendas/1999/Agendas_C_0028.pdf",http://boardarchives.metro.net/Minutes/1999/Minutes_B_0001.pdf
1999-12-02,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1999/Agendas_C_0008.pdf,http://boardarchives.metro.net/Minutes/2000/minutes3-012.pdf
1999-12-15,Special Board Meeting,http://boardarchives.metro.net/Agendas/1999/Agendas_C_0005.pdf,http://boardarchives.metro.net/Minutes/2000/minutes3-013.pdf
2000-01-27,Regular Board Meeting,http://boardarchives.metro.net/Agendas/2000/agendas3-063.pdf,http://boardarchives.metro.net/Minutes/2000/minutes3-010.pdf
2000-02-04,Special Board Meeting,http://boardarchives.metro.net/Agendas/2001/11001197.pdf,http://boardarchives.metro.net/Minutes/2000/minutes3-011.pdf
2000-02-24,Regular Board Meeting,http://boardarchives.metro.net/Agendas/2001/11001274.pdf,http://boardarchives.metro.net/Minutes/2000/minutes3-006.pdf
2000-03-23,Regular Board Meeting,http://boardarchives.metro.net/Agendas/2001/11001644.pdf,http://boardarchives.metro.net/Minutes/2000/minutes3-007.pdf
2000-04-27,Regular Board Meeting,"http://boardarchives.metro.net/Agendas/2000/agendas3-037.pdf
http://boardarchives.metro.net/Agendas/2000/agendas3-038.pdf",http://boardarchives.metro.net/Minutes/2000/minutes3-008.pdf
2000-05-08,Special Board Meeting,http://boardarchives.metro.net/Agendas/2001/11001705.pdf,http://boardarchives.metro.net/Minutes/2000/minutes3-009.pdf
2000-05-25,Regular Board Meeting,http://boardarchives.metro.net/Agendas/2000/agendas3-036.pdf,http://boardarchives.metro.net/Minutes/2000/minutes3-014.pdf
2000-06-07,Special Board Meeting,http://boardarchives.metro.net/Agendas/2001/11001807.pdf,http://boardarchives.metro.net/Minutes/2000/11000859.pdf
2000-06-22,Regular Board Meeting,http://boardarchives.metro.net/Agendas/2001/11000855.pdf,http://boardarchives.metro.net/Minutes/2000/minutes3-019.pdf
2000-07-20,Special Board Meeting,http://boardarchives.metro.net/Agendas/2001/11000899.pdf,http://boardarchives.metro.net/Minutes/2000/11001041.pdf
2000-07-27,Regular Board Meeting,"http://boardarchives.metro.net/Agendas/2000/11000953.pdf
http://boardarchives.metro.net/Agendas/2001/11000954.pdf",http://boardarchives.metro.net/Minutes/2000/minutes3-017.pdf
2000-08-09,Special Board Meeting,http://boardarchives.metro.net/Agendas/2001/11000988.pdf,http://boardarchives.metro.net/Minutes/2000/11001043.pdf
2000-08-24,Regular Board Meeting,http://boardarchives.metro.net/Agendas/2000/agendas3-002.pdf,http://boardarchives.metro.net/Minutes/2000/minutes3-002.pdf
2000-08-30,Special Board Meeting,http://boardarchives.metro.net/Agendas/2001/11001075.pdf,
2000-09-05,Special Board Meeting,http://boardarchives.metro.net/Agendas/2001/11000017.pdf,http://boardarchives.metro.net/Minutes/2000/minutes3-001.pdf
2000-10-26,Regular Board Meeting,http://boardarchives.metro.net/Agendas/2000/agendas3-008.pdf,http://boardarchives.metro.net/Minutes/2000/minutes3-003.pdf
2000-10-26,Special Board Meeting,http://boardarchives.metro.net/Agendas/2001/11000340.pdf,http://boardarchives.metro.net/Minutes/2000/minutes3-005.pdf
